GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
GnM - MB:=0,0000. Post bends: gn: =0,0000; dn: +0,0196; gn: =0,0000;   : =0,0000;
DnM - MB:=0,0000. Post bends: dn: =0,0000; dn: =0,0000; an: +0,0196;   : =0,0000;
CnM - MB:+0,1460. Post bends: cn: +0,1460; en: +0,0091; an: -0,0104;   : +0,1460;
CnM - MB:=0,0000. Post bends: cn: =0,0000; en: -0,1369; gn: +0,0196;   : =0,0000;
