GnM - MB:-0,0196. Post bends:   : -0,0196; gn: -0,0196; dn: =0,0000; gn: -0,0196;
GnM - MB:-0,0196. Post bends:   : -0,0196; gn: -0,0196; dn: =0,0000; an: +0,0196;
DnM - MB:=0,0000. Post bends: dn: =0,0000; gn: -0,0196; dn: =0,0000; an: +0,0196;
Dn7 - MB:=0,0000. Post bends: dn: =0,0000; cn: -0,3117; en: +0,0391; an: +0,0196;
CnM - MB:+0,1760. Post bends: en: +0,0391; cn: +0,1760; en: +0,0391; gn: +0,1955;
GnM - MB:+0,1955. Post bends:   : +0,1955; gn: +0,1955; dn: +0,2151; gn: +0,1955;
GnM - MB:+0,1955. Post bends:   : +0,1955; gn: +0,1955; dn: +0,2151; an: +0,2346;
DnM - MB:+0,2151. Post bends: dn: +0,2151; gn: +0,1955; dn: +0,2151; an: +0,2346;
Dn7 - MB:+0,2151. Post bends: dn: +0,2151; cn: -0,0967; en: +0,2542; an: +0,2346;
CnM - MB:+0,3910. Post bends: en: +0,2542; cn: +0,3910; en: +0,2542; gn: +0,4106;
GnM - MB:+0,4106. Post bends:   : +0,4106; gn: +0,4106; dn: +0,4301; gn: +0,4106;
GnM - MB:+0,4106. Post bends:   : +0,4106; gn: +0,4106; dn: +0,4301; an: +0,4497;
DnM - MB:+0,4301. Post bends: dn: +0,4301; gn: +0,4106; dn: +0,4301; an: +0,4497;
Dn7 - MB:+0,4301. Post bends: dn: +0,4301; cn: +0,1184; en: +0,4692; an: +0,4497;
CnM - MB:+0,6061. Post bends: en: +0,4692; cn: +0,6061; en: +0,4692; gn: +0,6256;
GnM - MB:+0,6256. Post bends:   : +0,6256; gn: +0,6256; dn: +0,6452; gn: +0,6256;
GnM - MB:+0,6256. Post bends:   : +0,6256; gn: +0,6256; dn: +0,6452; an: +0,6647;
DnM - MB:+0,6452. Post bends: dn: +0,6452; gn: +0,6256; dn: +0,6452; an: +0,6647;
