tieRadius;leadRadius;prio;posterior_drift;max_drift;max_retuning;max_deviation;total_drift;total_retuning;total_deviation;n_retunings;n_deviations
0;0,099;t;0,4877;0,4682;-0,4877;-0,2933;1,0743;1,4631;1,5044;1;3
0;0,099;l;0,2567;0,4118;-0,4877;-0,0990;1,0338;2,2878;0,8507;10;0
0,00909090909090909;0,099;t;0,3877;0,4591;-0,4786;-0,2842;1,1561;1,8722;1,5135;1;3
0,00909090909090909;0,099;l;0,1839;0,4118;-0,4786;-0,0990;1,1247;2,6151;0,9416;10;0
0,01818181818181818;0,099;t;0,2877;0,4500;-0,4695;-0,2751;1,2379;2,2813;1,5226;1;3
0,01818181818181818;0,099;l;0,1112;0,4118;-0,4695;-0,0990;1,2156;2,9424;1,0325;10;0
0,02727272727272727;0,099;t;0,1877;0,4409;-0,4604;-0,2660;1,3197;2,6904;1,5317;1;3
0,02727272727272727;0,099;l;0,0420;0,4118;-0,4604;-0,0990;1,3030;3,2592;1,1199;10;0
0,03636363636363636;0,099;t;0,0877;0,4318;-0,4513;-0,2569;1,4015;3,0995;1,5407;40;3
0,03636363636363636;0,099;l;0,0232;0,4118;-0,4513;-0,0990;1,3821;3,5510;1,1990;37;0
0,045454545454545456;0,099;t;0,0000;0,4227;-0,4422;-0,2478;1,4710;3,4594;1,5502;40;3
0,045454545454545456;0,099;l;0,0000;0,4118;-0,4422;-0,0990;1,4135;3,6584;1,2431;33;0
0,05454545454545454;0,099;t;0,0000;0,4136;-0,4332;-0,2387;1,4984;3,6823;1,5230;33;3
0,05454545454545454;0,099;l;-0,0054;0,4118;-0,4332;-0,0990;1,5197;4,0729;1,3675;33;0
0,06363636363636363;0,099;t;0,0000;0,4045;-0,4241;-0,2296;1,5798;4,0831;1,5748;33;2
0,06363636363636363;0,099;l;0,0000;0,4045;0,4241;-0,0990;1,4980;4,0788;1,3639;30;0
0,07272727272727272;0,099;t;0,0000;0,3954;-0,4150;-0,2205;1,6290;4,4278;1,6058;33;2
